,event_date_range,event_date_range_count
0,"(2015-02-28, 2015-03-31]",548
3,"(2015-01-31, 2015-02-28]",438
16,"(2014-12-31, 2015-01-31]",371
17,"(2015-03-31, 2015-04-30]",234
145,"(2014-05-31, 2014-06-30]",153
148,"(2014-11-30, 2014-12-31]",200
152,"(2014-04-30, 2014-05-31]",95
153,"(2014-06-30, 2014-07-31]",171
155,"(2014-10-31, 2014-11-30]",168
156,"(2014-09-30, 2014-10-31]",179
203,"(2014-07-31, 2014-08-31]",189
232,"(2014-08-31, 2014-09-30]",162
536,"(2014-03-31, 2014-04-30]",59
1551,"(2014-02-28, 2014-03-31]",29
1552,"(2014-01-31, 2014-02-28]",15
